"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","poutcome","predicted_y","bmodtest1","bmodtest1_y"
"61",46,6,1,6,0,0,2,0,3,3,554,5,1,"0","0","0"
"62",29,7,2,6,0,0,0,1,6,0,332,1,1,"0","0","0"
"63",55,4,1,0,0,0,0,1,6,3,325,3,1,"0","0","0"
"64",47,4,1,0,1,2,0,0,7,4,117,1,1,"0","0","0"
"65",29,7,1,3,0,2,2,0,6,3,380,1,1,"0","0","0"
"66",26,9,2,6,0,0,2,0,3,4,109,3,1,"0","0","0"
"67",26,0,1,7,0,0,0,0,5,2,359,1,0,"1","1","1"
"68",28,9,1,6,0,2,0,0,3,4,321,1,1,"0","0","0"
"69",26,9,1,5,0,0,0,1,6,2,260,1,1,"0","0","0"
"70",34,0,1,5,0,2,0,0,1,4,276,3,1,"0","0","0"
"71",39,9,1,6,1,2,0,0,1,0,207,4,1,"0","0","0"
"72",37,0,2,6,0,0,0,0,1,2,105,1,1,"0","0","0"
"73",33,7,1,0,0,0,0,1,6,2,402,1,1,"0","0","0"
"74",32,1,2,2,0,2,0,0,7,2,75,2,1,"0","0","0"
"75",38,1,1,2,0,0,0,1,4,4,333,1,1,"0","0","0"
"76",46,0,1,6,1,0,0,0,1,3,123,2,1,"0","0","0"
"77",39,1,1,1,1,0,0,0,6,3,132,1,1,"0","0","0"
"78",27,0,2,6,0,0,0,0,6,0,86,1,2,"1","1","1"
"79",30,0,1,6,0,2,2,0,0,2,554,2,1,"1","0","0"
"80",32,1,2,0,0,2,2,1,4,1,156,1,1,"0","0","0"
"81",36,1,2,1,0,2,0,0,7,3,330,1,1,"0","0","0"
"82",50,0,1,3,0,2,0,0,0,1,554,2,1,"1","0","0"
"83",27,9,2,6,0,2,0,0,1,2,250,3,0,"1","1","1"
"84",44,1,0,2,0,2,0,1,6,4,166,1,1,"0","0","0"
"85",55,5,1,6,0,0,0,1,1,1,133,1,1,"0","0","0"
"86",55,1,1,7,1,2,0,0,1,0,286,1,1,"0","0","0"
"87",55,5,1,6,0,2,2,1,0,1,89,5,1,"0","0","0"
"88",29,0,2,3,0,2,0,0,9,2,216,1,2,"1","1","1"
"89",38,9,1,3,0,2,0,0,3,3,554,5,1,"0","0","0"
"90",31,1,1,2,0,2,0,1,4,1,208,1,1,"0","0","0"
"91",37,9,0,2,0,2,0,0,0,1,247,1,0,"0","0","0"
"92",39,1,0,2,1,0,0,0,6,4,95,1,0,"0","0","0"
"93",34,9,1,5,0,0,0,0,6,3,278,2,1,"0","0","0"
"94",30,9,2,6,1,2,0,0,6,2,63,3,1,"0","0","0"
"95",39,10,1,5,0,2,0,1,4,4,281,4,1,"0","0","0"
"96",26,1,2,3,0,2,0,0,3,3,214,1,1,"0","0","0"
"97",40,0,0,6,0,2,0,0,0,2,194,2,1,"0","0","0"
"98",30,6,2,6,0,2,0,0,9,3,191,1,1,"0","0","0"
"99",34,0,0,6,0,0,0,0,7,2,493,2,0,"0","0","0"
"100",44,4,1,3,1,2,0,0,3,1,102,5,1,"0","0","0"
"101",38,2,1,1,0,0,0,0,4,3,271,1,2,"0","1","1"
"102",29,0,2,3,0,0,0,1,3,4,38,1,1,"0","0","0"
"103",33,9,1,3,0,0,0,0,1,3,398,2,1,"1","0","0"
"104",29,4,2,6,0,2,0,1,7,4,103,1,1,"0","0","0"
"105",29,1,2,1,0,0,0,0,1,0,260,3,1,"0","0","0"
"106",54,4,0,6,0,0,0,1,6,1,554,2,1,"0","0","0"
"107",51,0,1,3,0,2,0,0,7,1,89,1,1,"0","0","0"
"108",26,1,0,3,0,2,0,0,3,4,57,2,1,"0","0","0"
"109",48,1,0,5,0,0,0,0,7,1,554,1,1,"0","0","0"
"110",55,5,1,0,0,2,0,1,6,1,102,2,1,"0","0","0"
"111",30,1,1,0,1,0,0,1,6,0,142,3,0,"0","0","0"
"112",55,1,1,2,1,0,0,1,6,4,150,1,1,"0","0","0"
"113",31,6,2,6,0,2,0,0,0,2,383,1,1,"1","1","1"
"114",55,5,1,1,1,0,0,1,6,1,268,3,1,"0","0","0"
"115",40,6,1,7,1,0,0,1,3,1,554,1,1,"0","0","0"
"116",51,2,1,0,1,0,0,1,6,0,277,3,1,"0","0","0"
"117",46,4,1,6,0,0,2,1,6,4,103,5,1,"0","0","0"
"118",31,1,2,3,0,0,0,0,7,4,145,1,1,"0","0","0"
"119",53,1,1,3,0,0,2,0,3,1,136,2,1,"0","0","0"
"120",37,0,1,3,0,2,0,0,0,2,226,1,2,"0","1","1"
"121",41,1,1,1,0,0,0,1,6,2,74,2,1,"0","0","0"
"122",33,1,1,2,1,2,0,0,6,0,554,5,1,"0","0","0"
"123",35,9,2,5,0,2,0,0,1,3,67,1,1,"0","0","0"
"124",26,1,1,0,1,2,0,0,3,2,530,3,1,"0","0","0"
"125",42,0,2,6,0,0,0,1,6,2,172,4,1,"0","0","0"
"126",42,9,1,5,0,0,0,1,6,3,554,1,1,"0","0","0"
"127",31,1,1,0,1,0,0,0,3,4,99,2,1,"0","0","0"
"128",55,5,1,5,0,1,1,0,8,2,181,1,2,"0","0","0"
"129",26,8,2,3,0,2,0,0,6,2,47,3,1,"0","0","0"
"130",27,0,0,3,0,2,0,1,6,3,206,2,1,"0","0","0"
"131",26,4,2,6,0,2,0,1,6,1,165,2,1,"0","0","0"
"132",42,6,1,0,1,2,0,0,3,0,126,3,1,"0","0","0"
"133",55,7,1,0,1,2,2,0,7,0,119,1,0,"0","0","0"
"134",32,0,2,6,0,2,2,0,1,4,72,2,1,"0","0","0"
"135",28,0,2,3,0,0,2,0,3,0,63,5,1,"0","0","0"
"136",41,0,2,3,0,0,2,1,6,1,111,1,1,"0","0","0"
"137",30,7,1,3,0,2,0,0,3,0,554,1,1,"1","1","1"
"138",47,1,0,2,1,0,0,1,6,4,159,2,1,"0","0","0"
"139",30,0,2,3,0,2,0,0,6,2,464,2,1,"1","0","0"
"140",55,1,1,1,1,0,0,0,3,3,232,4,1,"0","0","0"
"141",55,5,1,0,0,2,2,0,3,0,67,2,1,"0","0","0"
"142",40,9,1,3,0,2,0,0,7,4,118,1,1,"0","0","0"
"143",40,0,1,6,0,0,0,0,1,4,53,3,1,"0","0","0"
"144",50,1,1,0,0,2,0,1,6,3,206,1,1,"0","0","0"
"145",39,1,1,1,1,0,2,0,3,2,122,1,1,"0","0","0"
"146",37,1,3,1,1,0,2,1,6,0,36,2,1,"0","0","0"
"147",33,0,0,3,0,0,0,1,6,3,190,1,1,"0","0","0"
"148",38,7,1,2,0,1,1,1,4,0,48,1,1,"0","0","0"
"149",41,2,1,1,0,0,0,1,3,3,275,2,1,"1","1","1"
"150",39,9,0,5,0,2,0,0,6,0,128,2,0,"0","0","0"
"151",48,9,1,5,0,0,0,0,8,2,491,1,2,"1","1","1"
"152",34,6,1,5,0,1,1,1,6,0,252,4,1,"0","0","0"
"153",33,4,1,6,0,0,0,1,6,2,166,3,1,"0","0","0"
"154",41,0,2,1,0,1,1,1,6,4,92,1,1,"0","0","0"
"155",30,0,2,6,0,2,0,0,3,3,255,2,2,"1","1","1"
"156",31,7,1,2,0,2,0,1,6,0,186,5,1,"0","0","0"
"157",39,3,1,5,0,2,0,0,1,0,192,2,1,"0","0","0"
"158",36,1,1,2,0,2,0,1,6,4,231,2,1,"0","0","0"
"159",44,9,1,5,0,2,0,1,4,3,57,2,1,"0","0","0"
"160",51,1,1,0,0,0,0,0,3,0,46,1,1,"0","0","0"
"161",38,1,1,5,0,0,0,1,4,1,182,3,1,"0","0","0"
"162",49,10,1,5,0,2,0,0,4,3,298,3,1,"1","1","1"
"163",43,9,1,3,0,2,0,0,9,2,531,1,1,"0","0","0"
"164",55,0,1,3,0,2,0,0,7,3,173,1,0,"0","0","0"
"165",46,0,1,6,1,0,0,1,4,1,230,3,1,"0","0","0"
"166",43,9,2,3,0,0,0,0,7,0,61,2,1,"0","0","0"
"167",54,9,0,5,1,2,0,0,1,0,343,4,1,"0","0","0"
"168",31,10,2,5,0,0,0,0,7,2,250,1,0,"0","0","0"
"169",41,0,2,3,0,2,0,1,6,3,214,1,1,"0","0","0"
"170",43,9,1,3,0,0,0,0,3,4,332,3,1,"0","0","0"
"171",55,5,1,6,0,0,0,0,7,1,507,1,1,"0","0","0"
"172",48,9,0,5,0,0,0,0,3,4,127,2,1,"0","0","0"
"173",43,4,1,7,1,0,2,0,0,2,36,1,1,"0","0","0"
"174",55,5,1,1,0,0,0,0,6,1,233,2,1,"0","0","0"
"175",50,4,1,6,0,2,0,1,6,4,281,2,1,"0","0","0"
"176",39,1,2,0,0,1,1,0,6,4,554,3,1,"0","0","0"
"177",34,0,2,3,0,0,0,0,0,3,231,1,1,"0","0","0"
"178",38,0,1,1,0,0,0,0,3,2,169,5,1,"0","0","0"
"179",26,9,1,2,1,0,0,1,4,4,554,1,1,"0","0","0"
"180",27,0,1,3,0,2,0,0,6,4,319,2,1,"0","0","0"
"181",44,4,1,6,0,2,0,0,4,3,71,3,1,"0","0","0"
"182",29,6,1,5,0,0,0,1,4,4,36,1,1,"0","0","0"
"183",42,1,1,1,1,0,0,0,7,3,364,2,1,"0","0","0"
"184",52,1,1,2,0,2,0,1,6,3,319,1,1,"0","0","0"
"185",46,0,1,6,0,2,0,0,3,0,341,3,1,"0","0","0"
"186",43,1,1,0,0,2,0,1,4,4,109,1,1,"0","0","0"
"187",36,0,2,3,0,0,0,0,3,2,165,1,1,"0","0","0"
"188",50,6,1,6,0,2,0,1,4,0,306,2,1,"0","0","0"
"189",54,9,1,6,0,0,0,0,7,3,432,2,1,"1","1","1"
"190",54,7,2,3,1,0,0,1,6,2,144,1,1,"0","0","0"
"191",37,9,2,5,0,0,0,0,1,2,120,1,1,"0","0","0"
"192",55,1,0,0,0,0,0,1,4,1,554,4,1,"1","0","0"
"193",35,1,1,7,0,2,0,0,6,2,554,3,1,"0","0","0"
"194",29,0,2,6,0,0,0,0,1,3,103,4,1,"0","0","0"
"195",45,0,0,6,0,2,0,0,3,2,554,2,1,"0","0","0"
"196",50,0,0,0,0,2,0,0,6,1,36,5,1,"0","0","0"
"197",36,7,1,3,0,0,0,1,6,1,225,2,1,"0","0","0"
"198",54,1,0,0,0,2,0,0,6,3,138,3,1,"0","0","0"
"199",45,9,0,5,0,2,2,0,7,2,554,1,1,"0","0","0"
"200",44,0,1,6,1,2,2,0,1,2,163,1,1,"0","0","0"
"201",36,7,1,3,0,1,1,0,0,3,104,3,1,"0","0","0"
"202",55,2,1,5,1,2,0,0,3,0,243,2,1,"0","0","0"
"203",27,0,1,6,0,0,2,0,3,0,554,2,1,"0","0","0"
"204",29,0,1,3,0,2,0,0,7,1,155,1,1,"0","0","0"
"205",26,10,2,2,0,0,2,1,6,2,546,5,1,"0","0","0"
"206",53,1,1,0,1,0,0,0,3,0,93,4,1,"0","0","0"
"207",55,1,1,2,1,2,0,0,1,2,152,2,1,"0","0","0"
"208",39,9,1,5,0,2,2,0,6,2,113,2,1,"0","0","0"
"209",29,7,2,3,0,2,0,1,3,4,206,1,1,"0","0","0"
"210",55,5,1,0,1,2,0,1,6,0,554,2,1,"0","0","0"
"211",30,4,2,6,0,2,0,1,6,4,83,1,1,"0","0","0"
"212",55,4,1,2,0,0,0,0,3,4,109,3,1,"0","0","0"
"213",55,9,1,6,1,0,0,0,3,1,36,5,1,"0","0","0"
"214",54,2,1,6,0,2,0,1,4,4,39,2,1,"0","0","0"
"215",35,1,2,2,0,2,0,0,6,4,181,1,1,"0","0","0"
"216",55,4,1,6,1,2,0,0,3,2,212,1,1,"0","0","0"
"217",30,0,2,6,0,0,0,0,6,3,113,1,2,"0","0","0"
"218",35,7,2,0,0,0,0,1,6,3,329,1,1,"0","0","0"
"219",38,0,2,2,0,2,0,0,7,1,554,1,0,"0","0","0"
"220",33,9,2,2,0,0,0,0,7,3,61,3,1,"0","0","0"
"221",26,9,2,6,0,2,0,0,8,0,374,1,1,"1","1","1"
"222",35,0,2,6,0,2,0,1,7,3,263,2,1,"0","0","0"
"223",31,6,1,6,0,2,2,0,7,1,60,1,0,"0","0","0"
"224",31,9,2,6,0,2,2,0,3,2,328,1,1,"0","0","0"
"225",34,0,1,6,0,2,0,1,3,0,126,4,1,"0","0","0"
"226",30,0,2,6,0,0,0,0,3,2,257,2,1,"0","0","0"
"227",49,7,1,3,0,2,0,0,1,3,158,2,1,"0","0","0"
"228",27,6,2,6,0,0,0,0,1,1,241,2,1,"0","0","0"
"229",37,1,1,0,0,0,0,0,6,2,345,1,1,"0","0","0"
"230",48,7,1,7,0,0,0,0,7,1,51,1,1,"0","0","0"
"231",52,0,1,6,0,2,0,0,1,3,469,1,1,"0","0","0"
"232",49,9,1,6,0,0,0,0,6,2,188,1,0,"0","0","0"
"233",46,1,0,2,0,2,0,1,6,0,133,1,1,"0","0","0"
"234",38,1,1,3,0,0,0,1,4,1,358,3,1,"0","0","0"
"235",48,0,0,3,0,2,2,1,4,2,554,2,1,"0","0","0"
"236",31,9,2,5,0,2,0,0,3,3,77,3,1,"0","0","0"
"237",33,1,1,2,1,0,2,1,4,3,321,1,1,"0","0","0"
"238",42,0,0,6,0,2,0,0,1,1,91,5,1,"0","0","0"
"239",34,1,1,2,0,2,0,1,6,3,355,2,1,"0","0","0"
"240",31,1,2,2,0,0,2,0,3,4,85,2,1,"0","0","0"
"241",48,9,0,5,0,2,2,0,3,4,232,1,1,"0","0","0"
"242",34,1,1,2,0,0,0,1,4,0,114,5,1,"0","0","0"
"243",37,4,2,6,0,0,0,0,0,1,161,1,0,"1","0","0"
"244",55,2,1,6,0,0,0,0,9,3,170,1,0,"0","0","0"
"245",55,0,1,1,0,2,0,1,6,3,210,3,1,"0","0","0"
"246",55,5,1,0,1,2,0,0,6,4,205,1,0,"0","0","0"
"247",55,6,1,6,0,2,2,0,1,3,554,4,1,"1","0","0"
"248",38,7,1,1,0,2,0,0,7,2,88,2,1,"0","0","0"
"249",48,1,1,5,0,0,0,1,6,1,219,2,1,"0","0","0"
"250",51,0,1,6,0,2,0,0,7,4,93,1,1,"0","0","0"
"251",31,1,1,1,1,1,1,1,6,0,554,1,1,"0","0","0"
"252",27,0,1,5,0,2,0,0,6,2,102,1,0,"0","0","0"
"253",35,7,1,3,1,2,2,0,6,4,224,1,1,"0","0","0"
"254",30,0,1,6,0,0,0,0,0,3,161,1,1,"0","0","0"
"255",39,2,1,5,0,2,0,0,7,2,195,3,0,"0","0","0"
"256",34,0,1,6,0,0,2,1,6,1,165,2,1,"0","0","0"
"257",29,0,2,6,0,2,2,0,1,4,153,3,1,"0","0","0"
"258",55,4,1,6,0,2,0,0,4,3,114,3,1,"0","0","0"
"259",32,7,2,3,0,0,0,1,4,1,223,2,1,"0","0","0"
"260",50,0,0,2,0,0,0,1,6,0,145,4,1,"0","0","0"
"261",47,7,2,2,0,0,0,0,3,1,64,2,1,"0","0","0"
"262",36,9,1,5,0,0,0,0,1,1,554,3,1,"0","0","0"
"263",26,0,2,6,0,2,0,0,9,2,420,1,2,"0","0","0"
"264",30,6,2,6,0,2,0,1,6,2,244,2,1,"0","0","0"
"265",32,0,2,6,0,2,0,0,7,3,145,2,0,"0","0","0"
"266",28,9,1,5,0,0,0,1,3,2,45,1,1,"0","0","0"
"267",32,4,1,6,0,0,0,0,7,3,107,1,1,"0","0","0"
"268",27,7,1,3,1,0,0,1,6,0,136,2,1,"0","0","0"
"269",35,9,0,5,1,0,0,0,7,3,143,1,1,"0","0","0"
"270",51,1,1,7,1,0,2,1,6,1,76,3,1,"0","0","0"
"271",30,0,1,6,0,1,1,0,1,2,55,5,1,"0","0","0"
"272",55,5,1,3,0,0,0,1,6,4,302,1,1,"0","0","0"
"273",28,7,1,3,0,2,0,0,3,3,191,1,1,"0","0","0"
"274",47,9,0,3,0,0,0,0,3,2,42,5,1,"0","0","0"
"275",42,4,1,6,1,2,0,1,6,4,265,1,1,"0","0","0"
"276",45,7,1,6,1,2,0,1,3,1,317,5,1,"0","0","0"
"277",31,1,1,2,0,2,0,1,4,4,554,2,1,"0","0","0"
"278",27,0,0,3,0,0,0,1,6,3,290,4,1,"0","0","0"
"279",49,1,1,0,1,2,0,0,3,3,56,3,1,"0","0","0"
"280",26,8,2,3,0,0,0,0,1,2,185,2,2,"1","1","1"
"281",43,1,1,0,1,1,1,0,6,1,485,2,1,"0","0","0"
"282",30,1,2,0,1,0,0,1,4,1,554,1,1,"0","0","0"
"283",41,0,1,6,0,2,0,0,1,0,36,5,1,"0","0","0"
"284",27,7,2,3,0,0,0,0,3,2,129,2,1,"0","0","0"
"285",34,1,1,2,0,0,0,0,7,3,54,1,0,"0","0","0"
"286",52,9,1,5,0,2,2,0,9,3,77,1,1,"0","0","0"
"287",48,7,1,3,1,2,2,0,1,4,190,1,1,"0","0","0"
"288",36,1,1,2,0,2,0,0,6,3,415,1,1,"0","0","0"
"289",55,3,0,1,1,2,0,0,6,3,130,1,1,"0","0","0"
"290",29,0,1,6,0,2,0,0,6,4,126,2,0,"0","0","0"
"291",26,0,2,6,0,1,1,0,4,3,554,2,1,"0","0","0"
"292",53,6,1,6,0,2,0,0,7,0,61,4,1,"0","0","0"
"293",45,1,1,0,0,0,0,1,6,1,101,1,1,"0","0","0"
"294",55,5,1,7,0,0,0,0,0,2,117,1,1,"0","0","0"
"295",33,1,1,2,1,2,0,0,6,2,554,3,1,"0","0","0"
"296",36,0,1,6,0,2,2,0,1,0,96,1,0,"0","0","0"
"297",48,6,1,3,0,2,0,0,1,0,175,1,1,"0","0","0"
"298",41,4,1,7,0,2,0,1,4,0,143,2,1,"0","0","0"
"299",30,6,2,6,0,2,2,0,1,4,131,3,1,"0","0","0"
"300",27,0,1,5,0,2,0,0,6,2,444,1,1,"0","0","0"
"301",48,2,1,2,0,2,0,0,3,4,44,5,1,"0","0","0"
"302",26,7,2,5,0,0,0,0,3,3,363,1,0,"1","1","1"
"303",47,9,2,7,0,0,0,0,3,3,117,2,1,"0","0","0"
"304",27,6,2,6,0,0,2,1,4,0,100,4,1,"0","0","0"
"305",35,10,2,1,1,2,0,0,7,3,76,1,1,"0","0","0"
"306",46,1,0,1,0,1,1,1,4,2,45,5,1,"0","0","0"
"307",35,4,2,6,0,2,0,0,3,3,554,5,1,"0","0","0"
"308",31,9,1,5,0,0,0,0,1,1,36,1,1,"0","0","0"
"309",26,7,2,3,0,2,0,0,6,0,53,2,1,"0","0","0"
"310",55,1,1,5,0,1,1,1,6,0,340,1,1,"0","0","0"
"311",46,6,1,6,0,0,2,0,1,2,432,3,1,"0","0","0"
"312",55,5,1,0,1,2,0,0,8,0,476,1,2,"0","0","0"
"313",52,10,1,7,0,0,0,1,6,1,472,3,1,"0","0","0"
"314",37,1,0,2,0,2,0,0,3,2,554,4,1,"0","0","0"
"315",48,1,2,0,0,0,2,0,3,3,271,1,1,"0","0","0"
"316",45,0,1,3,0,2,0,0,1,2,41,1,1,"0","0","0"
"317",54,9,1,3,0,2,0,0,3,3,187,4,1,"0","0","0"
"318",27,1,1,1,1,2,0,1,4,1,235,1,1,"0","0","0"
"319",33,9,2,5,0,2,0,0,6,4,519,2,0,"0","0","0"
"320",47,7,1,2,0,2,0,0,0,2,554,3,1,"1","0","0"
"321",42,1,1,2,0,2,0,0,3,2,57,3,1,"0","0","0"
"322",30,0,2,6,0,2,0,1,6,2,68,1,1,"0","0","0"
"323",26,4,2,6,0,0,0,1,4,0,554,1,1,"1","1","1"
"324",43,0,1,3,0,2,2,0,3,1,183,3,1,"0","0","0"
"325",38,9,1,5,0,2,0,0,1,3,124,3,1,"0","0","0"
"326",35,1,1,0,0,2,0,0,0,0,98,1,1,"0","0","0"
"327",32,1,1,3,0,2,0,0,7,4,104,1,1,"0","0","0"
"328",55,1,1,0,1,2,0,1,6,0,334,1,1,"0","0","0"
"329",33,6,1,1,0,0,0,1,6,0,554,5,1,"0","0","0"
"330",34,0,2,3,0,2,0,0,6,0,554,2,1,"1","1","1"
"331",41,6,1,6,0,2,0,1,6,0,150,5,1,"0","0","0"
"332",41,0,1,3,0,0,0,1,4,2,152,2,1,"0","0","0"
"333",35,6,1,6,0,2,0,0,4,2,269,1,1,"1","1","1"
"334",32,0,2,6,0,2,0,1,7,0,135,1,1,"0","0","0"
"335",40,9,0,6,0,0,0,0,1,3,207,3,1,"0","0","0"
"336",26,8,2,0,0,2,0,0,6,2,220,1,0,"1","0","0"
"337",45,4,1,3,1,2,0,0,1,4,228,1,1,"0","0","0"
"338",34,0,2,6,0,0,0,0,7,2,169,1,2,"0","0","0"
"339",33,0,1,6,0,0,0,0,1,4,140,1,1,"0","0","0"
"340",32,3,1,0,0,2,0,1,6,2,325,1,1,"0","0","0"
"341",33,9,2,6,0,0,0,0,1,0,120,1,1,"0","0","0"
"342",35,9,2,6,0,0,0,0,1,2,165,1,1,"0","0","0"
"343",55,2,0,6,0,1,1,0,0,4,121,2,0,"0","0","0"
"344",31,1,1,1,0,0,0,0,3,0,255,2,1,"0","0","0"
"345",42,2,1,3,0,2,0,1,6,0,81,1,1,"0","0","0"
"346",34,4,1,6,0,2,0,1,7,2,36,1,1,"0","0","0"
"347",37,1,1,2,0,0,0,0,6,0,65,2,0,"0","0","0"
"348",54,6,1,2,0,0,2,0,7,3,72,1,1,"0","0","0"
"349",35,0,2,6,0,2,0,1,6,3,153,1,1,"0","0","0"
"350",51,9,1,5,0,2,0,0,0,2,341,1,1,"1","0","0"
"351",47,1,1,1,0,2,0,1,4,2,554,1,1,"0","0","0"
"352",49,0,2,3,0,2,0,0,3,3,554,1,1,"0","0","0"
"353",44,1,1,3,0,0,0,1,6,4,250,4,1,"0","0","0"
"354",39,4,2,6,0,2,0,1,4,2,160,5,1,"0","0","0"
"355",55,3,1,1,1,2,0,1,6,3,121,2,1,"0","0","0"
"356",44,3,1,2,1,2,0,1,6,1,118,4,1,"0","0","0"
"357",28,0,2,3,0,0,0,0,5,0,347,2,1,"1","1","1"
"358",31,9,2,5,0,0,0,0,1,2,511,1,1,"0","0","0"
"359",43,1,1,0,0,2,0,0,0,1,268,1,1,"0","0","0"
"360",48,1,1,0,0,1,1,1,3,1,360,3,1,"0","0","0"
"361",39,0,1,6,0,2,0,1,4,2,138,1,1,"0","0","0"
"362",55,3,1,0,0,2,0,0,7,0,66,1,1,"0","0","0"
"363",34,0,2,6,0,0,0,0,1,1,299,3,1,"0","0","0"
"364",39,2,0,3,0,0,0,1,6,4,52,2,1,"0","0","0"
"365",55,5,2,3,0,0,0,1,4,3,136,4,1,"0","0","0"
"366",47,4,1,6,0,2,2,0,1,1,57,2,1,"0","0","0"
"367",35,9,1,7,1,0,0,1,6,2,554,2,1,"0","0","0"
"368",44,10,1,3,1,2,0,0,1,4,209,1,1,"0","0","0"
"369",41,2,1,0,0,0,0,0,3,1,531,1,1,"1","1","1"
"370",32,0,2,6,0,0,0,0,6,0,61,4,1,"0","0","0"
"371",33,1,1,2,0,2,0,1,6,4,166,1,1,"0","0","0"
"372",49,0,1,6,0,2,2,1,4,2,185,2,1,"0","0","0"
"373",29,1,2,2,0,2,0,1,6,3,330,2,1,"0","0","0"
"374",38,1,2,2,0,0,2,0,6,4,222,2,0,"0","0","0"
